ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Canal_Venta
1001,2025-07-14,C013,P02,1,Distribuidor
1002,2026-03-18,C046,P07,4,Sitio Web
1003,2026-04-24,C111,P12,2,Tienda Física
1004,2025-04-11,C008,P07,2,Distribuidor
1005,2025-12-14,C103,P14,1,Tienda Física
1006,2025-09-12,C025,P04,1,Distribuidor
1007,2026-04-05,C018,P07,1,Tienda Física
1008,2025-10-13,C060,P04,3,Tienda Física
1009,2026-03-30,C104,P14,2,Distribuidor
1010,2025-04-11,C007,P11,2,Distribuidor
1011,2025-01-16,C012,P15,1,Tienda Física
1012,2025-06-20,C053,P08,4,Sitio Web
1013,2025-08-07,C111,P07,3,Tienda Física
1014,2025-06-18,C049,P01,1,Sitio Web
1015,2025-09-29,C119,P13,1,Sitio Web
1016,2025-10-20,C055,P12,1,Distribuidor
1017,2026-07-24,C085,P12,1,Sitio Web
1018,2025-06-08,C025,P05,2,Tienda Física
1019,2025-03-01,C075,P12,1,Distribuidor
1020,2025-03-04,C096,P06,1,Tienda Física
1021,2025-02-21,C075,P08,2,Distribuidor
1022,2026-06-28,C021,P01,1,Distribuidor
1023,2025-03-24,C109,P03,1,Tienda Física
1024,2025-03-11,C087,P14,1,Tienda Física
1025,2026-02-18,C016,P15,1,Distribuidor
1026,2025-09-10,C075,P10,3,Tienda Física
1027,2025-03-25,C054,P11,1,Distribuidor
1028,2026-08-02,C067,P06,2,Sitio Web
1029,2025-07-29,C086,P12,2,Sitio Web
1030,2025-09-02,C034,P07,1,Tienda Física
1031,2025-11-04,C059,P06,2,Tienda Física
1032,2025-01-10,C059,P10,1,Distribuidor
1033,2025-04-13,C010,P09,1,Tienda Física
1034,2026-06-03,C034,P03,4,Sitio Web
1035,2025-03-12,C113,P04,4,Sitio Web
1036,2025-10-19,C021,P08,3,Distribuidor
1037,2025-11-06,C079,P13,1,Distribuidor
1038,2026-06-26,C002,P11,1,Distribuidor
1039,2025-11-03,C120,P11,2,Tienda Física
1040,2025-05-18,C034,P02,1,Tienda Física
1041,2026-07-21,C020,P05,1,Sitio Web
1042,2025-08-04,C092,P06,1,Tienda Física
1043,2025-09-28,C065,P08,1,Sitio Web
1044,2025-02-22,C012,P11,4,Sitio Web
1045,2025-10-11,C006,P01,1,Sitio Web
1046,2025-05-14,C082,P05,2,Tienda Física
1047,2026-03-29,C071,P12,1,Sitio Web
1048,2026-07-29,C002,P02,2,Tienda Física
1049,2025-06-02,C070,P01,2,Sitio Web
1050,2026-08-20,C071,P03,1,Sitio Web
1051,2025-05-11,C006,P05,4,Sitio Web
1052,2025-02-10,C116,P06,3,Tienda Física
1053,2025-09-13,C086,P02,4,Sitio Web
1054,2026-07-28,C114,P14,3,Sitio Web
1055,2025-06-08,C119,P15,2,Tienda Física
1056,2025-06-16,C103,P13,4,Tienda Física
1057,2026-02-27,C004,P03,1,Distribuidor
1058,2025-12-07,C101,P15,1,Sitio Web
1059,2025-09-12,C035,P03,1,Distribuidor
1060,2025-04-21,C049,P14,1,Tienda Física
1061,2026-04-27,C029,P04,1,Sitio Web
1062,2025-12-25,C040,P14,1,Tienda Física
1063,2025-08-17,C004,P11,3,Tienda Física
1064,2026-02-13,C043,P05,1,Tienda Física
1065,2025-10-13,C045,P11,1,Distribuidor
1066,2026-02-14,C087,P14,2,Distribuidor
1067,2025-12-06,C004,P02,1,Sitio Web
1068,2025-07-02,C075,P05,3,Tienda Física
1069,2025-04-22,C077,P07,1,Sitio Web
1070,2025-11-18,C056,P10,5,Distribuidor
1071,2025-04-29,C050,P15,3,Distribuidor
1072,2025-07-14,C033,P01,1,Distribuidor
1073,2026-03-23,C001,P09,1,Distribuidor
1074,2025-07-21,C047,P07,3,Tienda Física
1075,2025-12-05,C080,P06,2,Distribuidor
